uri	pub	pub_copy	urlwd	idwd	mplace
http://lkg.org.pl/ns/lkg-core/F11_C605	Gazeta Krakowska	Gazeta Krakowska	https://www.wikidata.org/wiki/Q5529088	Q5529088	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C606	Gazeta Lubuska	Gazeta Lubuska	https://www.wikidata.org/wiki/Q1496625	Q1496625	Zielona Góra, Poland
http://lkg.org.pl/ns/lkg-core/F11_C607	Gazeta Olsztyńska	Gazeta Olsztyńska	https://www.wikidata.org/wiki/Q5529090	Q5529090	Olsztyn, Poland
http://lkg.org.pl/ns/lkg-core/F11_C608	Gazeta Pomorska	Gazeta Pomorska	https://www.wikidata.org/wiki/Q9266382	Q9266382	Bydgoszcz, Poland
http://lkg.org.pl/ns/lkg-core/F11_C609	Gazeta Poznańska	Gazeta Poznańska	https://www.wikidata.org/wiki/Q9266388	Q9266388	Poznan, Poland
http://lkg.org.pl/ns/lkg-core/F11_C610	Gazeta Południowa	Gazeta Południowa	https://www.wikidata.org/wiki/Q11699484	Q11699484	Krakow, Poland
http://lkg.org.pl/ns/lkg-core/F11_C611	Gazeta Robotnicza	Gazeta Robotnicza	https://www.wikidata.org/wiki/Q9266392	Q9266392	Wroclaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C612	Gazeta Studencka	Gazeta Studencka (miesięcznik ogólnopolski)	https://www.wikidata.org/wiki/Q9266402	Q9266402	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C613	Gazeta Uniwersytecka UŚ	Gazeta Uniwersytecka (Uniwersytet Śląski)	https://www.wikidata.org/wiki/Q9266416	Q9266416	Katowice, Poland
http://lkg.org.pl/ns/lkg-core/F11_C614	Gazeta Wyborcza	Gazeta Wyborcza	https://www.wikidata.org/wiki/Q741296	Q741296	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C86	Gdański Klub Fantastyki	Gdański Klub Fantastyki	https://www.wikidata.org/wiki/Q9266573	Q9266573	Gdansk, Poland
http://lkg.org.pl/ns/lkg-core/F11_C615	Gewerkschaftliche Monatshefte	Gewerkschaftliche Monatshefte	https://www.wikidata.org/wiki/Q16064792	Q16064792	Cologne, Germany
http://lkg.org.pl/ns/lkg-core/F11_C616	Gigamesh	Gigamesh	https://www.wikidata.org/wiki/Q5879417	Q5879417	Barcelona, Spain
http://lkg.org.pl/ns/lkg-core/F11_C88	Gondolat	Gondolat Publishing	https://www.wikidata.org/wiki/Q1011822	Q1011822	Budapest, Hungary
http://lkg.org.pl/ns/lkg-core/F11_C89	Gregg Press	Gregg Press	https://www.wikidata.org/wiki/Q5606574	Q5606574	Boston, United States
http://lkg.org.pl/ns/lkg-core/F11_C617	Gromada – Rolnik Polski	Gromada – Rolnik Polski	https://www.wikidata.org/wiki/Q24948725	Q24948725	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C618	Gwiazda Polarna	Gwiazda Polarna	https://www.wikidata.org/wiki/Q18425090	Q18425090	United States, United States
http://lkg.org.pl/ns/lkg-core/F11_C619	Głos Koszaliński	Głos Koszaliński	https://www.wikidata.org/wiki/Q9284180	Q9284180	Koszalin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C620	Głos Ludu	Głos Ludu	https://www.wikidata.org/wiki/Q1031851	Q1031851	Ostrava, Czechia
http://lkg.org.pl/ns/lkg-core/F11_C622	Głos Polski	Głos Polski	https://www.wikidata.org/wiki/Q86682322	Q86682322	Toronto, Canada
http://lkg.org.pl/ns/lkg-core/F11_C623	Głos Pomorza	Głos Pomorza	https://www.wikidata.org/wiki/Q9284195	Q9284195	Słupsk, Poland
http://lkg.org.pl/ns/lkg-core/F11_C624	Głos Robotniczy	Głos Robotniczy	https://www.wikidata.org/wiki/Q9284207	Q9284207	Lodz, Poland
