uri	myido	myid	mauthor	mtitle	titleCP	urlwd	idwd	mtitle_tree	mpub	myear
http://lkg.org.pl/ns/lkg-core/F1_NFUK49	11286	NFUK49	Lem Stanisław	Казки роботів. Кіберіада. Маска	Fables for Robots	https://www.wikidata.org/wiki/Q8717304	Q8717304	Казки роботів. Кіберіада. Маска	Богдан	2016
http://lkg.org.pl/ns/lkg-core/F1_NFUK50	11297	NFUK50	Lem Stanisław	Едем. Солярiс. Повернення з зiрок. Непереможний	Eden	https://www.wikidata.org/wiki/Q1283523	Q1283523	Едем. Солярiс. Повернення з зiрок. Непереможний	Богдан	2016
http://lkg.org.pl/ns/lkg-core/F1_NFUK53	11377	NFUK53	Lem Stanisław	Високий Замок. Шпиталь Преображення. Людина з Марса. Раннi оповiдання. Юнацькi вiршi	Highcastle	https://www.wikidata.org/wiki/Q4129317	Q4129317	Високий Замок. Шпиталь Преображення. Людина з Марса. Раннi оповiдання. Юнацькi вiршi	Богдан	2017
http://lkg.org.pl/ns/lkg-core/F1_NFUK65	11448	NFUK65	Lem Stanisław	Астронавти. Голос Господа. Огляд на мiсцi	The Astronauts	https://www.wikidata.org/wiki/Q931113	Q931113	Астронавти. Голос Господа. Огляд на мiсцi	Богдан	2021
http://lkg.org.pl/ns/lkg-core/F1_NFUK66	11465	NFUK66	Lem Stanisław	Слiдство. Катар. Щоденник, знайдений у ваннi. П'єсы	The Investigation	https://www.wikidata.org/wiki/Q1217093	Q1217093	Слiдство. Катар. Щоденник, знайдений у ваннi. П'єсы	Богдан	2021
http://lkg.org.pl/ns/lkg-core/F1_NFUK70	11494	NFUK70	Lem Stanisław	Абсолютний вакуум. Уявна величина. Провокація. Бібліотека ХХІ століття. Оповідання	A Perfect Vacuum	https://www.wikidata.org/wiki/Q546271	Q546271	Абсолютний вакуум. Уявна величина. Провокація. Бібліотека ХХІ століття. Оповідання	Богдан	2022
http://lkg.org.pl/ns/lkg-core/F1_NFFR13	11768	NFFR13	Lem Stanisław	Provocation / Traduit du polonais par Dominique Sila	Provocation	https://www.wikidata.org/wiki/Q11828065	Q11828065	Provocation / Traduit du polonais par Dominique Sila	Éditions du Seuil	1989
http://lkg.org.pl/ns/lkg-core/F1_NFCS42	12201	NFCS42	Lem Stanisław	Sex Wars / Vybral a přeložil Pavel Weigel	Q9335800	https://www.wikidata.org/wiki/Q9335800	Q9335800	Sex Wars / Vybral a přeložil Pavel Weigel	Akropolis	2008
http://lkg.org.pl/ns/lkg-core/F1_NFHU26	12764	NFHU26	Lem Stanisław	DiLEMmák: Írások a 21. Századból / Fordította: Keresztes Gáspár	Q642280	https://www.wikidata.org/wiki/Q642280	Q642280	DiLEMmák: Írások a 21. Századból / Fordította: Keresztes Gáspár	Typotex	2005
http://lkg.org.pl/ns/lkg-core/F1_NFHU28	12820	NFHU28	Lem Stanisław	Sex Wars / Fordította: Mihályi Zsuzsa	Q9335800	https://www.wikidata.org/wiki/Q9335800	Q9335800	Sex Wars / Fordította: Mihályi Zsuzsa	Typotex	2007
